corridor,seller_id,n_orders,avg_delta,std_delta,avg_actual,std_actual,pct_late
SP_RJ,7e93a43ef30c4f03f38b393420bc753a,48,-10.333333333333334,10.22581908144892,13.0,9.959492424903093,0.14583333333333334
SP_RJ,813348c996469b40f2e028d5429d3495,14,-8.785714285714286,12.478773185685371,14.928571428571429,13.33280676615904,0.14285714285714285
SP_RJ,8160255418d5aaa7dbdc9f4c64ebda44,58,-4.827586206896552,15.841471147165377,20.913793103448278,13.35912131100159,0.25862068965517243
SP_RJ,82e0a475a88cc9595229d8029273f045,11,-8.181818181818182,5.844966754707539,13.454545454545455,4.25120303828543,0.09090909090909091
SP_RJ,834f3294fba9f932f56edc879193f925,7,-7.285714285714286,4.191828786034631,14.0,3.6514837167011076,0.0
SP_RJ,834f8533b2ecb6598dd004ff3de7203a,8,-5.125,11.58123482190047,15.25,13.530389076867987,0.125
SP_RJ,850f4f8af5ea87287ac68de36e29107f,21,-13.285714285714286,10.789545204237559,13.904761904761905,7.725961182304516,0.09523809523809523
SP_RJ,855668e0971d4dfd7bef1b6a4133b41b,40,-10.85,12.52187828951535,17.775,9.9085239139766,0.125
SP_RJ,8581055ce74af1daba164fdbd55a40de,20,-6.55,11.019002724957987,17.55,11.600703245470667,0.2
SP_RJ,8648b1e89e9b349e32d3741b30ec737e,11,-14.909090909090908,13.619504730015299,17.09090909090909,9.332251019497338,0.18181818181818182
SP_RJ,891071be6ba827b591264c90c2ae8a63,12,-9.416666666666666,17.794066086164452,15.916666666666666,13.73421959482183,0.25
SP_RJ,8931a84a914b3fe9b1ddaa4d704947ca,8,-11.875,11.506985456048612,12.125,7.0596944490739615,0.125
SP_RJ,897060da8b9a21f655304d50fd935913,39,-4.923076923076923,10.403401810502622,20.0,11.140254178334295,0.1794871794871795
SP_RJ,8a130737016f838139d31878787a39c9,10,-13.4,10.72069649478677,15.0,10.16530045465127,0.1
SP_RJ,8a32e327fe2c1b3511609d81aaf9f042,15,-15.466666666666667,6.59942277418116,9.666666666666666,2.63673679998231,0.0
SP_RJ,8a432f4e5b471f8da497d7dc517666e2,14,-16.285714285714285,11.491994346758707,10.0,7.534535869529773,0.07142857142857142
SP_RJ,8b28d096634035667e8263d57ba3368c,15,-15.4,9.701251760174339,10.4,5.9497899122574065,0.06666666666666667
SP_RJ,8b321bb669392f5163d04c59e235e066,134,-7.82089552238806,16.9225794556448,18.73134328358209,13.756291344889464,0.23134328358208955
SP_RJ,8bb48dc19fccaa8613b6229bf7f452a2,10,-9.5,7.735200923914862,17.0,8.027729719194863,0.2
SP_RJ,8bd0f31cf0a614c658f6763bd02dea69,5,-12.4,6.107372593840988,10.0,3.1622776601683795,0.0
SP_RJ,8d956fec2e4337affcb520f56fd8cbfd,13,-17.076923076923077,5.992516700874217,10.923076923076923,4.32938676299424,0.0
SP_RJ,8e6d7754bc7e0f22c96d255ebda59eba,7,3.857142857142857,18.077873874145816,26.285714285714285,15.129598867939688,0.2857142857142857
SP_RJ,8f119a0aee85c0c8fc534629734e94fd,10,-14.3,6.945022198188667,11.9,5.704773829385741,0.0
SP_RJ,8f2ce03f928b567e3d56181ae20ae952,13,-5.538461538461538,12.725403625657515,19.153846153846153,8.84916336766885,0.23076923076923078
SP_RJ,900ba814c251a692506d7834c1218441,9,-7.0,8.0156097709407,18.444444444444443,10.187137859957417,0.2222222222222222
SP_RJ,903037660cf848a717166eb7a06d616e,5,1.4,19.424211695716252,24.4,19.47562579225633,0.4
